School ID,Name,SEMIS,GPS,Tehsil,UnionCouncil
2647,GBPS : RAJO KHANANI (MAIN),401050028,"24.9841331071006, 68.8546657434149",Talhar,Rajo Khanni-Tc
2649,GBPS : GHULAM RASOOL ARAIN,401050032,"25.0093367870228, 68.9813518477495",Talhar,Mir Ahasn Ali @ Rajo Khanani
2650,GBPS : MITHO LASHARI,401050035,"24.9594555964385, 68.8470268249512",Talhar,Rajo Khanni-Tc
2651,GBPS : DEEWANI FAQEER,401050042,"24.9807867614255, 68.8976830047435",Talhar,Mir Ahasn Ali @ Rajo Khanani
2652,GGPS : GHULAM RASOOL ARAIN,401050058,"25.0091787055597, 68.9799624694383",Talhar,Mir Ahasn Ali @ Rajo Khanani
2654,GGPS : RAJO KHANANI,401050060,"24.9818498153209, 68.8526353380038",Talhar,Rajo Khanni-Tc
2656,GBPS : LAKHA DINO KHASKHELI,401050162,"25.0125015688494, 68.8953293825201",Talhar,Mir Ahasn Ali @ Rajo Khanani
2658,GBPS : JARAR MALLAH,401050164,"24.9663590148398, 68.8156235252806",Talhar,Rajo Khanni-Tc
2659,GBPS : KHAMOON JUNEJO,401050165,"24.9805877467459, 68.8130070270101",Talhar,Rajo Khanni-Tc
2661,GBPS : KANDO MALLAH,401050169,"24.962249553023, 68.8550788217765",Talhar,Rajo Khanni-Tc
2663,GBPS : AHSAN DAL,401050172,"24.9801694895051, 68.8019603486857",Talhar,Rajo Khanni-Tc
2664,GBPS : NOOR MUHAMMAD JUNEJO @ AZIM JUNEJO,401050173,"24.962362628987, 68.877821268538",Talhar,Rajo Khanni-Tc
2665,GBPS : QASIM JUNEJO,401050174,"24.9693194132414, 68.8062505422533",Talhar,Rajo Khanni-Tc
2668,GBPS : YOUSIF BHURARO,401050185,"24.9313102335272, 68.8249629757794",Talhar,Saeed Pur
2669,GBPS : JUMOON SAHTO,401050200,"24.9412361472303, 68.8908299725281",Talhar,Mir Ahasn Ali @ Rajo Khanani
2671,GBPS : KAROO KHASKHELI,401050204,"24.9686834797308, 68.8782209070553",Talhar,Mir Ahasn Ali @ Rajo Khanani
2672,GBPS : SHAH BUX LUND,401050210,"24.9996768067076, 68.8880431771239",Talhar,Mir Ahasn Ali @ Rajo Khanani
2673,GBPS : HAJI JEWAN JUNEJO,401050211,"25.0326100306546, 68.9808462538826",Talhar,Mir Ahasn Ali @ Rajo Khanani
